,지하철역,평일당일권,2시간권,3시간권,4시간권,평일5시간권,6시간권,12시간권,주간권,공유 주차장,월주차,평일심야권
171,역삼역,19800.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,역삼역,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,역삼역,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,언주역,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,언주역,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,언주역,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,언주역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,학동역,5900.0,0.0,16300.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0
179,학동역,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,강남역2호선,8000.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0
181,강남역2호선,10000.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0
182,강남구청역,20000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,건대입구역,0.0,4000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,99000.0,0.0
184,건대입구역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99000.0,0.0
185,건대입구역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99000.0,0.0
186,교대역 ,14000.0,10000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,교대역 ,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,교대역 ,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,4·19민주묘지역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
190,4·19민주묘지역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
191,4·19민주묘지역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
192,4·19민주묘지역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0
193,가락시장역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
194,가락시장역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,5000.0
195,경찰병원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,5000.0
196,경찰병원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,5000.0
197,경찰병원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
198,경찰병원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
199,경찰병원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
200,경찰병원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
201,문정역,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.0,1200.0,0.0,0.0
202,문정역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
203,문정역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
204,가산디지털역,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,가양역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,150000.0,2200.0
206,가양역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
207,강동구청역,0.0,0.0,8800.0,0.0,0.0,0.0,0.0,0.0,1200.0,120000.0,0.0
208,강동구청역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
209,강동구청역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
210,강동구청역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
211,강동구청역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
212,강동구청역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
213,강동구청역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
214,강동구청역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
215,강동구청역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
216,천호역,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,120000.0,0.0
217,천호역,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
218,천호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
219,천호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
220,천호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
221,천호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
222,천호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
223,천호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
224,천호역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
